Year_Name,Month_Name,profit,MoM_Growth
2003,January,45820.95,
2003,February,51980.32,13.442257
2003,March,66103.02,27.169321
2003,April,73846.81,11.714730
2003,May,71586.99,-3.060146
2003,June,58229.57,-18.659005
2003,July,82073.59,40.948302
2003,August,70195.88,-14.472024
2003,September,93855.53,33.705183
2003,October,200560.62,113.690786
2003,November,393705.82,96.302654
2003,December,112663.84,-71.383750
2004,January,119453.03,
2004,February,113543.35,-4.947283
2004,March,86600.36,-23.729254
2004,April,75903.79,-12.351646
2004,May,103150.02,35.895744
2004,June,139022.15,34.776658
2004,July,128195.79,-7.787507
2004,August,166758.58,30.081167
2004,September,114683.65,-31.227737
2004,October,202491.52,76.565291
2004,November,392370.92,93.771532
2004,December,167207.98,-57.385226
2005,January,121184.39,
2005,February,127520.52,5.228503
2005,March,139327.24,9.258682
2005,April,135710.22,-2.596061
2005,May,172133.80,26.839231
