orderdate,productcode,ordernumber,initial_qnty_in_stock,quantityordered,product_sold_so_far,updatedStock,are_we_going_to_fulfill_next_order
2003-02-24,S10_1678,10107,7933,30,30,7903,yes
2003-05-07,S10_1678,10121,7933,34,64,7869,yes
2003-07-01,S10_1678,10134,7933,41,105,7828,yes
2003-08-25,S10_1678,10145,7933,45,150,7783,yes
2003-10-10,S10_1678,10159,7933,49,199,7734,yes
2003-10-28,S10_1678,10168,7933,36,235,7698,yes
2003-11-11,S10_1678,10180,7933,29,264,7669,yes
2003-11-18,S10_1678,10188,7933,48,312,7621,yes
2003-12-01,S10_1678,10201,7933,22,334,7599,yes
2004-01-15,S10_1678,10211,7933,41,375,7558,yes
2004-02-20,S10_1678,10223,7933,37,412,7521,yes
2004-04-05,S10_1678,10237,7933,23,435,7498,yes
2004-05-18,S10_1678,10251,7933,59,494,7439,yes
2004-06-28,S10_1678,10263,7933,34,528,7405,yes
2004-07-23,S10_1678,10275,7933,45,573,7360,yes
2004-08-27,S10_1678,10285,7933,36,609,7324,yes
2004-09-30,S10_1678,10299,7933,23,632,7301,yes
2004-10-15,S10_1678,10309,7933,41,673,7260,yes
2004-11-02,S10_1678,10318,7933,46,719,7214,yes
2004-11-15,S10_1678,10329,7933,42,761,7172,yes
2004-11-24,S10_1678,10341,7933,41,802,7131,yes
2004-12-04,S10_1678,10354,7933,42,844,7089,yes
2004-12-17,S10_1678,10361,7933,20,864,7069,yes
2005-02-03,S10_1678,10375,7933,21,885,7048,yes
2005-03-03,S10_1678,10388,7933,42,927,7006,yes
2005-04-01,S10_1678,10399,7933,40,967,6966,yes
2005-04-08,S10_1678,10403,7933,24,991,6942,yes
2005-05-13,S10_1678,10417,7933,66,1057,6876,yes
2003-01-29,S10_1949,10103,7305,26,26,7279,yes
2003-03-24,S10_1949,10112,7305,29,55,7250,yes
2003-05-28,S10_1949,10126,7305,38,93,7212,yes
2003-07-24,S10_1949,10140,7305,37,130,7175,yes
2003-09-19,S10_1949,10150,7305,45,175,7130,yes
2003-10-20,S10_1949,10163,7305,21,196,7109,yes
2003-11-06,S10_1949,10174,7305,34,230,7075,yes
2003-11-13,S10_1949,10183,7305,23,253,7052,yes
2003-11-25,S10_1949,10194,7305,42,295,7010,yes
2003-12-05,S10_1949,10206,7305,47,342,6963,yes
2004-01-29,S10_1949,10215,7305,35,377,6928,yes
2004-03-10,S10_1949,10228,7305,29,406,6899,yes
2004-05-04,S10_1949,10245,7305,34,440,6865,yes
2004-06-15,S10_1949,10258,7305,32,472,6833,yes
2004-07-19,S10_1949,10270,7305,21,493,6812,yes
2004-08-17,S10_1949,10280,7305,34,527,6778,yes
2004-09-08,S10_1949,10291,7305,37,564,6741,yes
2004-10-11,S10_1949,10304,7305,47,611,6694,yes
2004-10-21,S10_1949,10312,7305,48,659,6646,yes
2004-11-04,S10_1949,10322,7305,40,699,6606,yes
2004-11-18,S10_1949,10333,7305,26,725,6580,yes
2004-11-29,S10_1949,10347,7305,30,755,6550,yes
2004-12-10,S10_1949,10357,7305,32,787,6518,yes
2005-01-20,S10_1949,10369,7305,41,828,6477,yes
2005-02-17,S10_1949,10381,7305,36,864,6441,yes
2005-03-09,S10_1949,10391,7305,24,888,6417,yes
